extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e00187,,water,2021,5,10,Amalga_Harbor,1760m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00188,,water,2021,5,10,Amalga_Harbor,1680m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00189,,water,2021,5,10,Amalga_Harbor,1680m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00190,,water,2021,5,10,Amalga_Harbor,1680m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00191,202117601,water,2021,7,4,Prince William Sound,,,,,sample,40,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00192,202117601,water,2021,7,4,Prince William Sound,,,,,sample,40,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00193,202117601,water,2021,7,4,Prince William Sound,,,,,sample,40,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00194,202121011,water,2021,9,19,Prince William Sound,,,,,sample,10,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00195,202121011,water,2021,9,19,Prince William Sound,,,,,sample,10,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00196,202121011,water,2021,9,19,Prince William Sound,,,,,sample,10,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00197,202121011,water,2021,9,19,Prince William Sound,,,,,sample,120,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00198,202121011,water,2021,9,19,Prince William Sound,,,,,sample,120,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00199,202121011,water,2021,9,19,Prince William Sound,,,,,sample,120,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00200,202122011,water,2021,9,18,Prince William Sound,,,,,sample,2,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00201,202122011,water,2021,9,18,Prince William Sound,,,,,sample,2,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
e00202,202122011,water,2021,9,18,Prince William Sound,,,,,sample,2,,Yumi_PrinceWilliamSound,Yumi,MP,2021_11_17,,,,,,
